Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
127,Amanda Ilestedt,SWE,DF,Arsenal,1993,31,12,10,945,10.5,1,0,1,1,0,0,0,0,1,0.8,0.1,0.9,5,51,6,0.1,0,0.1,0.1,0.1,0.1,0.01,0.11,0.08,0.09
128,Sophie Ingle,WAL,MF,Chelsea,1991,33,10,7,623,6.9,0,2,2,0,0,0,0,0,0.9,0.9,0.8,1.7,3,54,8,0,0.29,0.29,0,0.29,0.13,0.12,0.25,0.13,0.25
129,Angharad James,WAL,"DF,MF",Tottenham,1994,30,11,11,984,10.9,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,12,54,24,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06
130,Lauren James,ENG,"FW,MF",Chelsea,2001,23,13,12,957,10.6,12,1,13,12,0,0,5,0,4.9,4.9,2,6.9,40,57,72,1.13,0.09,1.22,1.13,1.22,0.46,0.19,0.65,0.46,0.65
131,Olivia Johnson,,,Brighton,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,
132,Carrie Jones,WAL,"MF,FW",Bristol City,2003,21,14,14,1190,13.2,3,0,3,3,0,0,1,0,1.6,1.6,0.3,1.9,22,33,39,0.23,0,0.23,0.23,0.23,0.12,0.02,0.15,0.12,0.15
133,Khiara Keating,ENG,GK,Manchester City,2004,20,15,15,1350,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Chloe Kelly,ENG,FW,Manchester City,1998,26,15,15,1250,13.9,5,4,9,4,1,2,3,0,4.7,3.2,4.2,7.4,64,50,224,0.36,0.29,0.65,0.29,0.58,0.34,0.3,0.64,0.23,0.53
135,Maya Kendall,,,Bristol City,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,
136,Alanna Kennedy,AUS,DF,Manchester City,1995,29,10,9,766,8.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,5,44,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06
137,Sam Kerr,AUS,FW,Chelsea,1993,31,8,7,584,6.5,4,2,6,4,0,0,0,0,3.1,3.1,1.6,4.7,7,13,74,0.62,0.31,0.92,0.62,0.92,0.48,0.25,0.73,0.48,0.73
138,Leanne Kiernan,IRL,"FW,DF",Liverpool,1999,25,7,0,141,1.6,0,2,2,0,0,0,0,0,0.7,0.7,1.1,1.8,5,3,17,0,1.28,1.28,0,1.28,0.46,0.71,1.17,0.46,1.17
139,Fran Kirby,ENG,"MF,FW",Chelsea,1993,31,15,7,653,7.3,2,2,4,2,0,0,0,0,3.1,3.1,3.9,7,14,60,73,0.28,0.28,0.55,0.28,0.55,0.42,0.54,0.97,0.42,0.97
140,Emma Koivisto,FIN,"DF,MF",Liverpool,1994,30,13,12,965,10.7,2,0,2,2,0,0,2,0,1.1,1.1,0.3,1.4,15,36,45,0.19,0,0.19,0.19,0.19,0.1,0.03,0.13,0.1,0.13
141,Lize Kop,NED,GK,Leicester City,1998,26,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Kathrine Kühl,DEN,"MF,FW",Arsenal,2003,21,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
143,Kathrine Kühl,DEN,MF,Everton,2003,21,4,4,330,3.7,0,1,1,0,0,0,0,0,0.1,0.1,0,0.2,1,10,5,0,0.27,0.27,0,0.27,0.04,0.01,0.04,0.04,0.04
144,Emma Kullberg,SWE,DF,Brighton,1991,33,14,13,1173,13,0,0,0,0,0,0,0,0,0,0,0.1,0.1,12,55,29,0,0,0,0,0,0,0.01,0.01,0,0.01
